"Fecha aplicación","Año","Cod_Territorio","Nom_Territorio","Cantidad_dosis_aplicadas","fecha_corte"
"2021-03-06","2021","13001","Cartagena","71","2023-02-28"
"2021-03-06","2021","15","Boyacá","442","2023-02-28"
"2021-03-06","2021","17","Caldas","257","2023-02-28"
"2021-03-06","2021","18","Caquetá","176","2023-02-28"
"2021-03-06","2021","85","Casanare","224","2023-02-28"
"2021-03-06","2021","19","Cauca","718","2023-02-28"
"2021-03-06","2021","20","Cesar","443","2023-02-28"
"2021-03-06","2021","27","Chocó","327","2023-02-28"
"2021-03-06","2021","23","Córdoba","1.522","2023-02-28"
"2021-03-06","2021","25","Cundinamarca","828","2023-02-28"
"2021-03-06","2021","94","Guainía","116","2023-02-28"
"2021-03-06","2021","95","Guaviare","90","2023-02-28"
"2021-03-06","2021","41","Huila","723","2023-02-28"
"2021-03-06","2021","44","La Guajira","158","2023-02-28"
"2021-03-06","2021","47","Magdalena","484","2023-02-28"
"2021-03-06","2021","47001","Santa Marta","822","2023-02-28"
"2021-03-06","2021","50","Meta","439","2023-02-28"
"2021-03-06","2021","52","Nariño","1.123","2023-02-28"
"2021-03-06","2021","54","Norte de Santander","1.106","2023-02-28"
"2021-03-06","2021","86","Putumayo","143","2023-02-28"
"2021-03-06","2021","63","Quindío","271","2023-02-28"
"2021-03-06","2021","66","Risaralda","342","2023-02-28"
"2021-03-06","2021","68","Santander","1.673","2023-02-28"
"2021-03-06","2021","70","Sucre","606","2023-02-28"
"2021-03-06","2021","73","Tolima","539","2023-02-28"
"2021-03-06","2021","76","Valle del Cauca","3.798","2023-02-28"
"2021-03-06","2021","76109","Buenaventura","317","2023-02-28"
"2021-03-06","2021","97","Vaupés","366","2023-02-28"
"2021-03-06","2021","99","Vichada","76","2023-02-28"
"2021-03-07","2021","91","Amazonas","1.058","2023-02-28"
"2021-03-07","2021","05","Antioquia","2.027","2023-02-28"
"2021-03-07","2021","08","Atlántico","90","2023-02-28"
"2021-03-07","2021","08001","Barranquilla","1.141","2023-02-28"
